Country,Year,Average precipitation in depth (mm per year),Deposit interest rate (%),Fossil fuel energy consumption (% of total),"Inflation, consumer prices (annual %)","Interest rate spread (lending rate minus deposit rate, %)",Lending interest rate (%),"Official exchange rate (LCU per US$, period average)",Real interest rate (%),Unemployment rate
Cote d'Ivoire,2001,1348.0,,34.29839715,4.36152914,,,732.3976933,,5.199
Cote d'Ivoire,2002,1348.0,,37.84871563,3.077264852,,,693.7132265,,5.516
Cote d'Ivoire,2003,1348.0,,32.50144051,3.29680747,,,579.8974262,,5.858
Cote d'Ivoire,2004,1348.0,,24.9305733,1.457988356,,,527.3380323,,5.93
Cote d'Ivoire,2005,1348.0,7.6075,25.39125672,3.885830399,-0.5583333333,7.049166667,527.2583626,5.763991453,6.041
Cote d'Ivoire,2006,1348.0,7.821666667,21.44916428,2.467191486,-3.085,4.736666667,522.4256249,3.331830891,6.04
Cote d'Ivoire,2007,1348.0,7.813333333,24.25328525,1.892006293,-3.061666667,4.751666667,478.6337185,1.613289963,6.308
Cote d'Ivoire,2008,1348.0,8.124166667,24.61665796,6.308527692,-3.14,4.984166667,446.0000414,-0.3689437178,6.404
Cote d'Ivoire,2009,1348.0,8.579166667,22.71780363,1.019504577,-3.601666667,4.9775,470.2934233,3.724734135,6.586
Cote d'Ivoire,2010,1348.0,8.386666667,23.23150743,1.226456121,-3.273333333,5.113333333,494.7942622,3.543389896,6.614
Cote d'Ivoire,2011,1348.0,8.500833333,20.86776164,4.912433951,-3.244916667,5.255916667,471.2486257,-0.4289156635,7.145
Cote d'Ivoire,2012,1348.0,7.9925,24.68015408,1.304511199,-2.953333333,5.039166667,510.5563385,5.465350419,7.223
Cote d'Ivoire,2013,1348.0,7.654166667,26.6581215,2.581170373,-2.366666667,5.2875,493.8996239,2.343357493,4.255
Cote d'Ivoire,2014,1348.0,7.258333333,26.49233002,0.4486820768,-1.92,5.338333333,493.7573299,0.8917007614,3.275
Cote d'Ivoire,2015,1348.0,6.998333333,,1.251499548,-1.844166667,5.154166667,591.211698,0.3612329554,2.574
Cote d'Ivoire,2016,1348.0,6.925,,0.7231784575,-1.63,5.295,592.6056151,6.552136669,1.896
Cote d'Ivoire,2017,1348.0,6.49,,0.6858810653,-1.35,5.14,580.6567496,6.246748203,3.273
Cote d'Ivoire,2018,1348.0,,,0.3594090314,,,555.4464584,,2.851
Cote d'Ivoire,2019,1348.0,,,-1.10686344,,,585.9110132,,2.401
Cote d'Ivoire,2020,1348.0,,,2.425006568,,,575.5860045,,2.559
Cote d'Ivoire,2021,1348.0,,,4.091951897,,,554.530675,,2.59
Cote d'Ivoire,2022,,,,5.276167243,,,623.7597009,,2.434
Cote d'Ivoire,2023,,,,4.38711707,,,606.5697502,,2.403
Ghana,2001,1187.0,30.85416667,32.17571931,41.50949629,,,0.7163051578,,9.604
Ghana,2002,1187.0,16.20833333,36.02899109,9.360932396,,,0.7924170843,,8.698
Ghana,2003,1187.0,14.32333333,36.76213635,29.77297972,,,0.8667643265,,7.722
Ghana,2004,1187.0,13.625,36.9201097,18.04273882,,,0.899494854,,6.757
