Country,Indicator,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
Ghana,"Inflation, consumer prices (annual %)",41.50949629,9.360932396,29.77297972,18.04273882,15.43899202,11.67918394,10.73426655,16.49463961,19.24694822,10.73338984,8.728459371,11.18634094,11.66619231,15.48961603,17.1499695,17.45463471,12.37192155,7.808765166,7.143640033,9.887289563,9.971088675,31.2558951,38.10696563
Cote d'Ivoire,"Inflation, consumer prices (annual %)",4.36152914,3.077264852,3.29680747,1.457988356,3.885830399,2.467191486,1.892006293,6.308527692,1.019504577,1.226456121,4.912433951,1.304511199,2.581170373,0.4486820768,1.251499548,0.7231784575,0.6858810653,0.3594090314,-1.10686344,2.425006568,4.091951897,5.276167243,4.38711707
Kenya,"Inflation, consumer prices (annual %)",5.738598143,1.961308217,9.81569063,11.62403554,10.31277836,14.45373421,9.75888023,26.23981664,9.234125924,3.961388891,14.0224913,9.377770035,5.71749357,6.878154993,6.582154293,6.297249538,8.005649677,4.689806468,5.239637958,5.405162079,6.107936037,7.659862683,7.67139634
Ghana,"Official exchange rate (LCU per US$, period average)",0.7163051578,0.7924170843,0.8667643265,0.899494854,0.9052094858,0.9151067992,0.932619195,1.052275,1.404966667,1.429983333,1.520625,1.824866667,1.98135,2.896575,3.714641667,3.909816667,4.350533333,4.585325,5.217366667,5.595708333,5.8057,8.2724,11.02040833
Cote d'Ivoire,"Official exchange rate (LCU per US$, period average)",732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502
Kenya,"Official exchange rate (LCU per US$, period average)",78.563195,78.74914167,75.93556944,79.17387606,75.55410945,72.10083502,67.31763812,69.17531982,77.3520123,79.2331517,88.81076997,84.52960176,86.1228789,87.92216381,98.17845333,101.5043695,103.4100045,101.301574,101.9912984,106.4507802,109.6377466,117.8659892,139.8463838
Ghana,Real interest rate (%),,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Real interest rate (%),,,,,5.763991453,3.331830891,1.613289963,-0.3689437178,3.724734135,3.543389896,-0.4289156635,5.465350419,2.343357493,0.8917007614,0.3612329554,6.552136669,6.246748203,,,,,,
Kenya,Real interest rate (%),17.81250097,17.35814064,9.770510927,5.045257597,7.609987546,-8.009866971,4.819090788,-0.9849969723,-10.09600357,12.52695849,4.526185832,9.313511345,9.29394636,8.249078992,6.268805783,10.11812871,5.656747616,8.487960475,7.831100748,6.714634409,7.427581005,5.968446875,6.546517061
Ghana,Average precipitation in depth (mm per year),1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,,
Cote d'Ivoire,Average precipitation in depth (mm per year),1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,,
Kenya,Average precipitation in depth (mm per year),630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,,
Ghana,Deposit interest rate (%),30.85416667,16.20833333,14.32333333,13.625,10.1625,8.885416667,8.895833333,11.285,17.06416667,12.87833333,8.908333333,10.05,12.35,12.90416667,13.33916667,13.04166667,14.0625,12.08333333,11.5,11.5,11.5,12.05208333,11.41666667
Cote d'Ivoire,Deposit interest rate (%),,,,,7.6075,7.821666667,7.813333333,8.124166667,8.579166667,8.386666667,8.500833333,7.9925,7.654166667,7.258333333,6.998333333,6.925,6.49,,,,,,
